Round,Pos,Num,driverId,Name,Q1,Q2,Q3
0,1,1,max_verstappen,Max Verstappen,91295,90503,89708
0,2,11,perez,Sergio Perez,91479,90746,89846
0,3,16,leclerc,Charles Leclerc,91094,90282,90000
0,4,55,sainz,Carlos Sainz,90993,90515,90154
0,5,14,alonso,Fernando Alonso,91158,90645,90336
0,6,63,russell,George Russell,91057,90507,90340
0,7,44,hamilton,Lewis Hamilton,91543,90513,90384
0,8,18,stroll,Lance Stroll,91184,91127,90836
0,9,31,ocon,Esteban Ocon,91508,90914,90984
0,10,27,hulkenberg,Nico Hulkenberg,91204,90809,
0,11,4,norris,Lando Norris,91652,91381,
0,12,77,bottas,Valtteri Bottas,91504,91443,
0,13,24,zhou,Guanyu Zhou,91615,91473,
0,14,22,tsunoda,Yuki Tsunoda,91400,92510,
0,15,23,albon,Alexander Albon,91461,,
0,16,2,sargeant,Logan Sargeant,91652,,
0,17,20,kevin_magnussen,Kevin Magnussen,91892,,
0,18,81,piastri,Oscar Piastri,92101,,
0,19,21,de_vries,Nyck de Vries,92121,,
0,20,10,gasly,Pierre Gasly,92181,,
1,1,1,max_verstappen,Max Verstappen,91295,90503,89708
1,2,11,perez,Sergio Perez,91479,90746,89846
1,3,16,leclerc,Charles Leclerc,91094,90282,90000
1,4,55,sainz,Carlos Sainz,90993,90515,90154
1,5,14,alonso,Fernando Alonso,91158,90645,90336
1,6,63,russell,George Russell,91057,90507,90340
1,7,44,hamilton,Lewis Hamilton,91543,90513,90384
1,8,18,stroll,Lance Stroll,91184,91127,90836
1,9,31,ocon,Esteban Ocon,91508,90914,90984
1,10,27,hulkenberg,Nico Hulkenberg,91204,90809,
1,11,4,norris,Lando Norris,91652,91381,
1,12,77,bottas,Valtteri Bottas,91504,91443,
1,13,24,zhou,Guanyu Zhou,91615,91473,
1,14,22,tsunoda,Yuki Tsunoda,91400,92510,
1,15,23,albon,Alexander Albon,91461,,
1,16,2,sargeant,Logan Sargeant,91652,,
1,17,20,kevin_magnussen,Kevin Magnussen,91892,,
1,18,81,piastri,Oscar Piastri,92101,,
1,19,21,de_vries,Nyck de Vries,92121,,
1,20,10,gasly,Pierre Gasly,92181,,
2,1,11,perez,Sergio Perez,89244,88635,88265
2,2,16,leclerc,Charles Leclerc,89376,88903,88420
2,3,14,alonso,Fernando Alonso,89298,88757,88730
2,4,63,russell,George Russell,89592,89132,88857
2,5,55,sainz,Carlos Sainz,89411,88957,88931
2,6,18,stroll,Lance Stroll,89335,88962,88945
2,7,31,ocon,Esteban Ocon,89707,89255,89078
2,8,44,hamilton,Lewis Hamilton,89689,89374,89223
2,9,81,piastri,Oscar Piastri,89706,89378,89243
2,10,10,gasly,Pierre Gasly,89890,89411,89357
2,11,27,hulkenberg,Nico Hulkenberg,89547,89451,
2,12,24,zhou,Guanyu Zhou,89654,89461,
2,13,20,kevin_magnussen,Kevin Magnussen,89744,89634,
2,14,77,bottas,Valtteri Bottas,89929,89668,
2,15,1,max_verstappen,Max Verstappen,88761,109953,
2,16,22,tsunoda,Yuki Tsunoda,89939,,
2,17,23,albon,Alexander Albon,89994,,
2,18,21,de_vries,Nyck de Vries,90244,,
2,19,4,norris,Lando Norris,90447,,
2,20,2,sargeant,Logan Sargeant,128510,,
3,1,1,max_verstappen,Max Verstappen,77384,77056,76732
3,2,63,russell,George Russell,77654,77513,76968
3,3,44,hamilton,Lewis Hamilton,77689,77551,77104
3,4,14,alonso,Fernando Alonso,77832,77283,77139
3,5,55,sainz,Carlos Sainz,77928,77349,77270
3,6,18,stroll,Lance Stroll,77873,77616,77308
3,7,16,leclerc,Charles Leclerc,78218,77390,77369
3,8,23,albon,Alexander Albon,77962,77761,77609
3,9,10,gasly,Pierre Gasly,78312,77574,77675
3,10,27,hulkenberg,Nico Hulkenberg,78029,77412,77735
