lap,pos,driver,time
1,1,max_verstappen,85653
1,2,leclerc,87230
1,3,sainz,87958
1,4,ricciardo,88847
1,5,hamilton,89425
1,6,piastri,90740
1,7,russell,91098
1,8,hulkenberg,91561
1,9,gasly,91942
1,10,zhou,92482
1,11,albon,93136
1,12,bottas,93640
1,13,kevin_magnussen,94366
1,14,alonso,94720
1,15,tsunoda,95096
1,16,norris,95404
1,17,sargeant,95924
1,18,ocon,96270
1,19,stroll,96812
1,20,perez,103446
2,1,max_verstappen,83859
2,2,leclerc,83980
2,3,sainz,84300
2,4,ricciardo,84178
2,5,hamilton,84314
2,6,piastri,84416
2,7,russell,84500
2,8,hulkenberg,85057
2,9,gasly,85443
2,10,zhou,85512
2,11,albon,85552
2,12,bottas,85666
2,13,kevin_magnussen,85699
2,14,tsunoda,85411
2,15,alonso,86688
2,16,norris,86297
2,17,sargeant,86470
2,18,ocon,86563
2,19,stroll,86402
3,1,max_verstappen,83573
3,2,leclerc,83957
3,3,sainz,84153
3,4,ricciardo,84166
3,5,hamilton,84162
3,6,piastri,84096
3,7,russell,84270
3,8,hulkenberg,84735
3,9,gasly,84804
3,10,zhou,84860
3,11,albon,84801
3,12,bottas,85036
3,13,kevin_magnussen,85057
3,14,tsunoda,85060
3,15,norris,84635
3,16,alonso,85829
3,17,sargeant,85693
3,18,stroll,86305
3,19,ocon,87456
4,1,max_verstappen,83708
4,2,leclerc,83815
4,3,sainz,83916
4,4,ricciardo,83916
4,5,hamilton,83887
4,6,piastri,83649
4,7,russell,84136
4,8,hulkenberg,84337
4,9,gasly,84249
4,10,zhou,84161
4,11,albon,84370
4,12,bottas,84543
4,13,kevin_magnussen,84395
4,14,tsunoda,84905
4,15,norris,84467
4,16,alonso,89120
4,17,sargeant,89415
4,18,stroll,90303
4,19,ocon,90735
5,1,max_verstappen,104819
5,2,leclerc,104739
5,3,sainz,104772
5,4,ricciardo,104973
5,5,hamilton,105164
5,6,piastri,105259
5,7,russell,105102
5,8,hulkenberg,105744
5,9,gasly,105637
5,10,zhou,105974
5,11,albon,105821
5,12,bottas,106058
5,13,kevin_magnussen,106238
5,14,tsunoda,105875
5,15,norris,106139
5,16,alonso,101773
5,17,sargeant,101215
5,18,stroll,99882
5,19,ocon,99890
6,1,max_verstappen,83339
6,2,leclerc,83383
6,3,sainz,83478
6,4,ricciardo,83426
6,5,hamilton,83300
6,6,piastri,83407
6,7,russell,83453
6,8,hulkenberg,83756
6,9,gasly,83989
6,10,zhou,84088
6,11,albon,84193
6,12,bottas,83903
6,13,kevin_magnussen,84040
6,14,tsunoda,84030
6,15,norris,84197
6,16,alonso,84716
6,17,sargeant,84692
6,18,stroll,84583
6,19,ocon,84322
7,1,max_verstappen,83453
7,2,leclerc,83489
7,3,sainz,83669
7,4,ricciardo,83817
7,5,hamilton,83707
7,6,piastri,84111
7,7,russell,84207
7,8,hulkenberg,84549
7,9,gasly,84292
7,10,zhou,84269
7,11,albon,84402
7,12,bottas,84343
7,13,kevin_magnussen,84469
7,14,tsunoda,84269
7,15,norris,84270
7,16,sargeant,84280
7,17,alonso,85748
7,18,stroll,84862
7,19,ocon,84643
8,1,max_verstappen,83357
8,2,leclerc,83324
8,3,sainz,83709
8,4,ricciardo,84030
8,5,hamilton,84296
8,6,piastri,83998
8,7,russell,84201
8,8,hulkenberg,84923
8,9,gasly,84829
8,10,zhou,84652
8,11,albon,84662
8,12,bottas,84673
8,13,kevin_magnussen,84904
8,14,tsunoda,85565
8,15,norris,85543
8,16,sargeant,85087
8,17,alonso,85068
8,18,stroll,85079
8,19,ocon,85088
9,1,max_verstappen,83218
9,2,leclerc,83673
9,3,sainz,83807
9,4,ricciardo,83938
9,5,hamilton,83964
9,6,piastri,84422
9,7,russell,84100
9,8,hulkenberg,84856
9,9,gasly,84958
9,10,zhou,84890
9,11,albon,84906
9,12,bottas,84825
9,13,kevin_magnussen,84523
9,14,norris,85601
9,15,sargeant,84834
9,16,alonso,84985
9,17,tsunoda,88908
9,18,stroll,85134
9,19,ocon,85135
10,1,max_verstappen,83276
10,2,leclerc,83722
10,3,sainz,83947
10,4,ricciardo,84133
10,5,hamilton,83785
10,6,piastri,84181
10,7,russell,83842
10,8,hulkenberg,84772
10,9,gasly,84880
10,10,zhou,85091
10,11,albon,85000
10,12,bottas,85099
10,13,kevin_magnussen,84965
10,14,norris,83800
10,15,sargeant,84508
10,16,alonso,84759
10,17,stroll,84877
10,18,ocon,84888
10,19,tsunoda,109360
11,1,max_verstappen,83626
11,2,leclerc,83868
11,3,sainz,83864
11,4,hamilton,83951
11,5,ricciardo,85563
11,6,piastri,84534
11,7,russell,84641
11,8,hulkenberg,85025
11,9,gasly,84900
11,10,zhou,84814
11,11,albon,84924
11,12,bottas,84831
11,13,kevin_magnussen,84984
11,14,sargeant,84710
11,15,norris,87653
11,16,stroll,84375
11,17,alonso,86309
11,18,ocon,85260
11,19,tsunoda,82501
12,1,max_verstappen,83644
12,2,leclerc,83709
12,3,sainz,84148
12,4,hamilton,83632
12,5,ricciardo,84129
12,6,piastri,84123
12,7,russell,84223
12,8,hulkenberg,85040
12,9,gasly,85189
12,10,zhou,85070
12,11,albon,84901
12,12,bottas,84996
12,13,kevin_magnussen,85139
12,14,sargeant,84636
12,15,stroll,84635
12,16,alonso,84912
12,17,ocon,85116
12,18,norris,103864
12,19,tsunoda,83000
13,1,max_verstappen,83792
13,2,leclerc,84090
13,3,sainz,84277
13,4,hamilton,84072
13,5,ricciardo,84347
13,6,piastri,84266
13,7,russell,84512
13,8,hulkenberg,85004
13,9,gasly,85153
13,10,zhou,85447
13,11,albon,85442
13,12,bottas,85444
13,13,kevin_magnussen,85255
13,14,sargeant,85043
13,15,stroll,84984
13,16,alonso,85464
13,17,ocon,85395
13,18,norris,83481
13,19,tsunoda,83224
14,1,max_verstappen,83695
14,2,leclerc,84320
14,3,sainz,84071
14,4,hamilton,83839
14,5,ricciardo,84028
14,6,piastri,84140
14,7,russell,84648
14,8,hulkenberg,85263
14,9,gasly,85003
14,10,zhou,85602
14,11,albon,85448
14,12,bottas,85362
14,13,kevin_magnussen,85200
14,14,sargeant,85037
14,15,stroll,85029
14,16,alonso,85179
14,17,ocon,85287
14,18,norris,83201
14,19,tsunoda,83127
15,1,max_verstappen,83714
15,2,leclerc,83840
15,3,sainz,84194
15,4,hamilton,83831
15,5,ricciardo,84116
15,6,piastri,84391
15,7,russell,84390
15,8,hulkenberg,85128
15,9,gasly,85110
15,10,albon,85172
15,11,zhou,86641
15,12,bottas,85948
15,13,kevin_magnussen,85770
15,14,sargeant,85154
15,15,stroll,85285
15,16,alonso,85329
15,17,ocon,85315
15,18,norris,83294
15,19,tsunoda,83499
16,1,max_verstappen,83585
16,2,leclerc,83552
16,3,sainz,84051
16,4,hamilton,83940
16,5,ricciardo,84248
16,6,piastri,84382
16,7,russell,85192
16,8,hulkenberg,85279
16,9,gasly,85121
16,10,albon,85531
16,11,zhou,85607
16,12,bottas,85658
16,13,kevin_magnussen,85748
16,14,sargeant,85274
16,15,stroll,85325
16,16,alonso,85509
16,17,ocon,85822
16,18,norris,83531
16,19,tsunoda,83537
17,1,max_verstappen,83644
17,2,leclerc,83649
17,3,sainz,84087
17,4,hamilton,84365
17,5,ricciardo,84311
17,6,piastri,84419
17,7,russell,84502
17,8,hulkenberg,84987
17,9,gasly,85331
17,10,albon,85222
17,11,zhou,85314
17,12,bottas,85290
17,13,kevin_magnussen,85530
17,14,sargeant,85282
17,15,stroll,85504
17,16,alonso,85485
17,17,ocon,85323
17,18,norris,83611
17,19,tsunoda,83861
18,1,max_verstappen,83927
18,2,leclerc,84169
18,3,sainz,84414
18,4,hamilton,84107
18,5,ricciardo,84559
18,6,piastri,84694
18,7,russell,84307
18,8,hulkenberg,85318
18,9,gasly,85419
18,10,albon,85542
18,11,zhou,85556
18,12,bottas,85459
18,13,kevin_magnussen,85736
18,14,sargeant,85424
18,15,stroll,85749
18,16,alonso,85716
18,17,ocon,85973
18,18,norris,83719
18,19,tsunoda,83923
19,1,max_verstappen,86825
19,2,leclerc,83894
19,3,sainz,84647
19,4,hamilton,84340
19,5,ricciardo,84590
19,6,piastri,84599
19,7,russell,84285
19,8,hulkenberg,85167
19,9,gasly,85126
19,10,albon,85457
19,11,zhou,85186
19,12,bottas,85452
19,13,kevin_magnussen,85668
19,14,sargeant,85604
19,15,stroll,85262
19,16,alonso,85088
19,17,ocon,84929
19,18,norris,83715
19,19,tsunoda,83780
20,1,leclerc,83496
20,2,sainz,84102
20,3,hamilton,84181
20,4,ricciardo,84321
20,5,piastri,84368
20,6,russell,84071
20,7,max_verstappen,101221
20,8,hulkenberg,84813
20,9,gasly,84779
20,10,albon,85397
20,11,zhou,85438
20,12,bottas,85092
20,13,kevin_magnussen,85549
20,14,sargeant,85893
20,15,stroll,85219
20,16,alonso,85111
20,17,ocon,85015
20,18,norris,83832
20,19,tsunoda,83758
21,1,leclerc,83452
21,2,sainz,84108
21,3,hamilton,84172
21,4,ricciardo,84236
21,5,piastri,84228
21,6,russell,84190
21,7,max_verstappen,82643
21,8,hulkenberg,84704
21,9,gasly,84732
21,10,albon,85097
21,11,bottas,85377
21,12,kevin_magnussen,85373
21,13,zhou,88634
21,14,sargeant,85219
21,15,stroll,85319
21,16,alonso,86642
21,17,ocon,86460
21,18,norris,85057
21,19,tsunoda,83986
22,1,leclerc,83666
22,2,sainz,84022
22,3,hamilton,84580
22,4,ricciardo,84500
22,5,piastri,84261
22,6,max_verstappen,82622
22,7,russell,85257
22,8,hulkenberg,85064
22,9,gasly,85087
22,10,albon,85154
22,11,bottas,84462
22,12,kevin_magnussen,85480
22,13,stroll,85268
22,14,sargeant,88753
22,15,alonso,85941
22,16,norris,85162
22,17,ocon,86725
22,18,tsunoda,85266
22,19,zhou,101962
23,1,leclerc,83878
23,2,sainz,84162
23,3,hamilton,84231
23,4,ricciardo,84319
23,5,max_verstappen,82781
23,6,piastri,85126
23,7,russell,84273
23,8,gasly,85360
23,9,hulkenberg,88600
23,10,albon,84890
23,11,bottas,84725
23,12,stroll,85054
23,13,kevin_magnussen,88228
23,14,norris,83483
23,15,alonso,85938
23,16,tsunoda,84639
23,17,ocon,86072
23,18,zhou,83583
23,19,sargeant,103412
24,1,leclerc,83786
24,2,sainz,84274
24,3,hamilton,86973
24,4,ricciardo,84593
24,5,max_verstappen,83762
24,6,piastri,84676
24,7,russell,84477
24,8,gasly,84435
24,9,albon,85019
24,10,bottas,85171
24,11,stroll,85192
24,12,norris,83978
24,13,tsunoda,84042
24,14,alonso,86197
24,15,ocon,85338
24,16,hulkenberg,103626
24,17,zhou,83839
24,18,sargeant,83003
24,19,kevin_magnussen,103471
25,1,leclerc,83941
25,2,sainz,84210
25,3,max_verstappen,82354
25,4,ricciardo,85259
25,5,russell,84329
25,6,piastri,87574
25,7,hamilton,100629
25,8,gasly,85078
25,9,albon,84813
25,10,bottas,84517
25,11,stroll,84732
25,12,norris,83729
25,13,tsunoda,83870
25,14,alonso,85212
25,15,ocon,85468
25,16,hulkenberg,83833
25,17,zhou,84336
25,18,sargeant,83579
25,19,kevin_magnussen,83146
26,1,leclerc,83709
26,2,sainz,84009
26,3,max_verstappen,82972
26,4,ricciardo,84215
26,5,russell,87165
26,6,hamilton,82870
26,7,gasly,84914
26,8,albon,84790
26,9,bottas,85255
26,10,piastri,103446
26,11,norris,83202
26,12,stroll,85801
26,13,tsunoda,84019
26,14,alonso,85181
26,15,ocon,85088
26,16,hulkenberg,84280
26,17,zhou,84623
26,18,sargeant,83747
26,19,kevin_magnussen,83881
27,1,leclerc,84264
27,2,sainz,84352
27,3,max_verstappen,83023
27,4,ricciardo,87032
27,5,hamilton,83717
27,6,gasly,84978
27,7,albon,85131
27,8,piastri,83690
27,9,bottas,85580
27,10,russell,103233
27,11,norris,83997
27,12,stroll,84791
27,13,tsunoda,83963
27,14,alonso,85247
27,15,ocon,85291
27,16,hulkenberg,84668
27,17,zhou,84600
27,18,sargeant,83377
27,19,kevin_magnussen,83216
28,1,leclerc,83690
28,2,sainz,84158
28,3,max_verstappen,83162
28,4,hamilton,83472
28,5,ricciardo,102520
28,6,gasly,87810
28,7,piastri,83519
28,8,albon,85709
28,9,russell,84021
28,10,bottas,86010
28,11,norris,84306
28,12,stroll,84834
28,13,tsunoda,84707
28,14,alonso,85046
28,15,ocon,85134
28,16,hulkenberg,84626
28,17,zhou,84564
28,18,kevin_magnussen,84585
28,19,sargeant,86290
29,1,leclerc,83860
29,2,max_verstappen,82224
29,3,sainz,84990
29,4,hamilton,83381
29,5,ricciardo,83599
29,6,piastri,83471
29,7,russell,83180
29,8,albon,85968
29,9,norris,84383
29,10,bottas,86401
29,11,stroll,85893
29,12,tsunoda,85887
29,13,ocon,85273
29,14,hulkenberg,84800
29,15,alonso,88472
29,16,zhou,84596
29,17,gasly,103332
29,18,kevin_magnussen,84579
29,19,sargeant,84196
30,1,leclerc,84131
30,2,max_verstappen,82904
30,3,sainz,87640
30,4,hamilton,83219
30,5,ricciardo,83571
30,6,piastri,83265
30,7,russell,83435
30,8,albon,85279
30,9,norris,84643
30,10,bottas,85608
30,11,tsunoda,84205
30,12,stroll,90059
30,13,hulkenberg,83576
30,14,ocon,85669
30,15,gasly,84005
30,16,zhou,86166
30,17,kevin_magnussen,85593
30,18,sargeant,86036
30,19,alonso,102893
31,1,leclerc,87924
31,2,max_verstappen,83436
31,3,hamilton,83607
31,4,sainz,102133
31,5,ricciardo,83738
31,6,piastri,83669
31,7,russell,83508
31,8,norris,83351
31,9,albon,85936
31,10,tsunoda,84653
31,11,bottas,88264
31,12,hulkenberg,83912
31,13,gasly,83600
31,14,ocon,86761
31,15,zhou,84896
31,16,kevin_magnussen,85226
31,17,sargeant,84753
31,18,stroll,102668
31,19,alonso,83685
32,1,max_verstappen,83204
32,2,leclerc,101329
32,3,hamilton,83190
32,4,sainz,82785
32,5,ricciardo,83682
32,6,piastri,83531
32,7,russell,83097
32,8,norris,83275
32,9,albon,85094
32,10,tsunoda,84399
32,11,hulkenberg,84408
